text,label,category
"Dear Customer, your SBI account 4829 has been temporarily locked due to irregular transactions. Visit http://sbi-unblock-portal.net immediately to restore access.",SCAM,bank_impersonation
URGENT: HDFC Vigilance Cell detected unauthorized access on your account. Transfer funds to Safe Vault Account 9928102931 within 30 minutes to safeguard your balance.,SCAM,bank_impersonation
Axis Bank Alert: Your netbanking credentials will expire tonight at 11:59 PM. Validate your account profile at http://axis-security-update.com or face indefinite suspension.,SCAM,bank_impersonation
"Dear ICICI user, suspicious login detected from unknown IP in Moscow. Click http://icici-verify-user.co to verify your identity now or your debit card will be permanently blocked.",SCAM,bank_impersonation
"RBI Compliance Dept: Your savings account has exceeded standard AML risk thresholds. Deposit ₹25,000 security escrow to reserve verification account to prevent freeze.",SCAM,bank_impersonation
"Dear Customer, Punjab National Bank has blocked your internet banking due to unlinked security mandate. Update immediately at http://pnb-online-helpdesk.in",SCAM,bank_impersonation
Kotak Mahindra Alert: Your primary savings account is under review by cyber cell. Confirm your mobile number and account details at http://kotak-portal-kyc.org to keep account active.,SCAM,bank_impersonation
"Alert from Canara Bank Vigilance: Unrecognized debit request of ₹49,999 initiated. If not you, contact our security officer immediately at 9811223344 to reverse.",SCAM,bank_impersonation
Bank of Baroda Notice: Account 8821 scheduled for deactivation in 2 hours due to pending regulatory clearance. Call nodal verification officer at 9876501234 now.,SCAM,bank_impersonation
SafeBank Security Division: We noticed high-risk activity on your mobile app. Please authenticate your customer ID and MPIN at http://safebank-customer-desk.xyz immediately.,SCAM,bank_impersonation
"Dear Union Bank user, incoming wire transfer of ₹1,45,000 is on hold due to missing security certificate. Clear tax verification at http://union-wire-clearance.in",SCAM,bank_impersonation
State Bank Alert: Your YONO account access has been restricted. Complete verification at http://yono-support-update.info within 1 hour to avoid account termination.,SCAM,bank_impersonation
HDFC Bank Warning: Multiple failed login attempts detected. Your net banking is locked. Reactivate your profile now via our emergency portal: http://hdfc-reactivate.site,SCAM,bank_impersonation
"Dear customer, your Bank of India savings account is flagged for illegal inward remittances. Call our anti-fraud wing immediately at 9845012398 to avoid seizure.",SCAM,bank_impersonation
Central Bank Alert: Your ATM card service has been suspended due to server upgrade compliance. Restore card instantly at http://cbi-card-reactivate.com,SCAM,bank_impersonation
